gene_id	KNI1766A283	KNI1766A273	KNI1766A278	KNI1766A288	KNI1766A269	KNI1766A274	KNI1766A280	KNI1766A284	KNI1766A271	KNI1766A276	KNI1766A282	KNI1766A286	KNI1766A279	KNI1766A270	KNI1766A275	KNI1766A285	KNI1766A272	KNI1766A277
gene_id	CD45RA+Cyt-	CD45RA+Cyt-	CD45RA+Cyt-	CD45RA+Cyt-	CSF+	CSF+	CSF+	CSF+	IFN+	IFN+	IFN+	IFN+	IFN+	IL17A+	IL17A+	IL17A+	IL17A+GMCSF+IFN-	IL17A+GMCSF+IFN-
ENSG00000269990	0.57731	0.88527	0.584586	0.647407	0.544033	0.662058	0.701843	0.320237	0.544504	0.399992	0.647431	0.387796	0.263151	0.288163	0.19756	0.48438	0.311085	0.355764
ENSG00000269996	0.828315	0.171343	0.239149	0.394074	0.598436	0.662058	0.614112	0.960712	0.881577	0.559989	0.593478	1.40576	0.643257	0.461061	0.329266	0.96876	0.591061	1.15623
ENSG00000269997	0.351406	0.0571142	0.0797162	0.168889	0.380823	0.431777	0.380165	0.407575	0.363002	0.359993	0.404644	0.484745	0.29239	0.0288163	0.329266	0.48438	0.217759	0.355764
ENSG00000269999	0.225904	0.1999	0.239149	0.562962	0.272016	0.431777	0.438652	0.524025	0.311145	0.0399992	0.323715	0.484745	0.233912	0.144081	0.0658533	0.16146	0.279976	0.0889411
ENSG00000270012	1.17972	0.428356	0.558013	1.23852	0.32642	0.230281	0.497139	0.553137	0.20743	0.439991	0.72836	0.630168	0.29239	0.288163	0.329266	0.96876	0.248868	0.177882
ENSG00000270015	2.73595	3.05561	3.26836	3.09629	1.06086	1.12262	1.69612	0.989824	1.63351	1.35997	2.34694	1.45423	1.1988	1.35437	1.31707	1.29168	0.684387	0.80047
ENSG00000270018	0.502009	0.88527	1.24889	0.591111	0.489629	0.460562	0.380165	0.4658	0.544504	0.759985	0.512549	0.969489	0.730974	0.345795	0.658533	1.45314	0.746604	1.24518
ENSG00000270019	1.68173	1.68487	0.930022	1.66074	0.272016	0.172711	0.731086	0.756925	0.233359	0.199996	0.377668	1.01796	0.175434	0.144081	0.19756	0.48438	0.186651	0.0889411
ENSG00000270039	0.351406	0.599699	0.451725	0.844444	0.489629	0.431777	0.263191	0.378462	0.466717	0.799984	0.377668	0.678642	0.350868	0.432244	0.460973	1.29168	0.435519	0.622588
ENSG00000270055	3.41366	3.05561	3.69352	6.7837	1.00646	1.69832	1.87158	2.35811	1.55572	1.99996	1.99624	2.42372	1.63738	1.09502	1.25121	3.2292	0.528844	1.15623
ENSG00000270060	0.903616	0.571142	0.478297	0.591111	0.299218	0.575702	0.672599	0.291125	0.518575	0.399992	0.755336	0.678642	0.438584	0.288163	0.329266	0.48438	0.248868	0.622588
ENSG00000270061	0.301205	0.114228	0.0531441	0.281481	0.299218	0.287851	0.263191	0.2329	0.388931	0.199996	0.296739	0.484745	0.233912	0.0288163	0.39512	0.16146	0.217759	0.355764
ENSG00000270062	0.426708	0.371242	1.11603	0.337777	0.108807	0.0863554	0.116974	0.2329	0.440789	0.399992	0.512549	0.727117	0.55554	0.23053	0.263413	0.32292	0.217759	0.0889411
ENSG00000270066	0.677712	0.228457	0.584586	0.619259	0.16321	0.805983	0.409408	0.873374	0.41486	0.599988	0.539526	0.533219	0.614018	0.288163	0.329266	0	0.466627	0.80047
ENSG00000270067	0.953817	0.428356	0.611158	1.94222	0.652839	1.00748	0.350921	1.48474	0.62229	0.639987	0.269763	1.30881	0.409345	0.489877	0.592679	0.8073	0.591061	0.444705
ENSG00000270069	42.1687	44.035	55.1902	14.7215	58.6467	91.1913	60.1538	76.5367	66.2739	73.5585	72.3234	64.3741	79.5885	37.7205	63.6143	57.6412	51.2357	88.0517
