gene	CD45RA+Cyt-	CSF+	IFN+	IL17A+	IL17A+GMCSF+INF-
RNF213	2430.93293228146	7617.0608440073	4556.19354472167	8505.89825239764	12741.205213899
TIGD3	8.23344824811611	7.671383229054	7.07061001421579	2.70682740889999	7.01793646886941
PLK3	4443.61655259899	9936.0741301605	10030.371365464	8278.71157091871	13078.0137618569
NET1	457.456577178526	100.882462020782	83.2220848709037	182.799158916532	54.6819249886887
DPY19L1	30.8227256164287	76.7051300651753	75.305441604603	58.0897306409264	67.5072065519347
ZNF791	90.5081890648752	86.3366405111519	81.4638074158125	80.9961602592997	56.0388059368348
PHC3	1018.52735033204	857.974567119978	767.759986769536	828.623749746069	769.647116395664
GPR160	23.6119834484297	14.1341875625621	15.5325073925008	13.9665282945622	3.47608630471937
GOLIM4	7.34786469007929	85.4634336204352	28.5132655388362	130.104774659975	543.234443132628
RBM4B	110.073445041124	151.02524881265	128.353498515016	124.783153454775	114.157895275553
USMG5	231.71323676506	251.962103124404	273.076208273616	299.671611923338	309.01601991813
HOXB2	19.9588298459074	38.9350838376844	40.1860626590971	35.4801787538299	60.6207978019266
MARCH3	65.2204864888448	22.2129589421753	31.4857357627766	50.0933681742346	16.5375814009471
SWSAP1	31.9310468333233	31.6905728489612	39.2322384699946	29.9954033570817	30.7318239622882
RBM4	136.08313383512	153.74334775504	152.28509556782	161.750775028215	149.379105338761
XXYLT1	25.0431358032615	33.3005505479531	41.1175612540676	27.2522732441125	36.9726741679385
UBXN2A	105.483050206329	128.758108408942	131.213932359889	109.282453073854	95.8299278151861
TCAP	53.2242387806066	45.8635065630301	47.5867160203694	35.891054832302	27.2557376575688
CCS	157.329139955585	85.392582029931	85.6859953841356	95.2612291369459	79.3970322283594
NRROS	44.2602161772636	91.0745712427949	113.471227929216	287.430797981653	234.332507273724
CEP19	25.0234733946453	12.4279260431449	8.78306893774217	10.4332826090519	16.8274787434107
KLHL15	894.580723385502	617.868951321724	759.082916335251	575.016841985291	448.478215363387
FBXO45	160.932488685748	130.639967208872	121.952679824398	179.331001826569	121.044304025561
GNG5	420.141062946184	549.819522706194	525.956362550832	555.697199463134	497.96211365221
FAM3C2	5.21013887519825	5.85179416302717	6.9863476719496	5.66204691274969	12.9957312367971
SLC25A30	290.755967918176	363.75695657301	349.220414883397	333.140805686147	359.958803164377
C9orf131	56.8874710630952	58.2805410462335	40.3658296610362	42.1435823993583	32.6537377405694
CTSF	25.8739172950151	34.1085543701165	26.7515552199329	29.991161352737	13.417156298122
RP11-1407O15.2	79.4774402022285	129.176628701304	125.999935763738	123.191528550916	244.74600433309
MRPL45	273.786129653095	241.867867081273	203.434466707648	225.006464047702	220.099342757693
LEMD3	704.439862943172	702.890948498314	713.175688704603	569.937995994035	638.927479619266
C16orf91	235.012067950754	316.685441230954	268.397382552832	273.437934969771	328.937081859625
SOCS7	253.795972783011	221.31814281082	202.597522407957	178.996701620192	178.478912865232
TLR1	10.8692660491584	4.56597335881767	3.65629061686391	11.1077624302742	0.97437784151106
TLR6	22.6981586435038	16.1331467418675	17.1845327565873	20.705718638705	6.46498368868322
FAM174A	9.4460876669854	10.8678085681353	12.0289036494415	12.0348763507909	8.41373937170534
RGMB	257.108092362154	223.61043002781	127.45218126319	183.833119429811	122.793086325448
FAM53A	14.0933050767842	16.269895136343	14.3403187846203	14.6925224676542	13.417156298122
